Run,Coin
Cold Cold Man,Saint Motel
SHC,Foster the People
Would That I,Hozier
Flashed Junk Mind,Milky Chance
I would do anything for you,Foster The People
Favorite Liar,The Wrecks
Million Bucks,Smallpools
Shotgun,George Ezra
Don't throw out my legos,AJR
Dancing on Glass,St. Lucia
Daylight,matt and kim
Brazil,Declan McKenna
Anna Sun,Walk the Moon
LA Devotee,Panic!
Best Friend,Foster the People
Mint,Floyd Fuji
Peak (Fed Up),Raahiem
Come Around,Jaz Karis
Running on E.,Brent Faiyaz
Miss Shiney,Kaiit
Bad Boy,Amber Olivier
Cadillac Drive,Pink Sweat$
Touchy Feely,Ro James
Bussit,Dreamville, Ari Lennox
Internal Lullaby,Dianna Lopez
Date with the moon,Dianna Lopez
California,Berhana
Wildin',Berhana
Drnuk,Berhana
Love Affair,Umi
Runnin',Umi
Remember Me,Umi
Heartbreak Anniversary,Giveon
Vanish,Giveon
Favorite Mistake,Giveon
Dancing,blAck pARty
Smoke Break II,blAck pARty
Best View,blAck pARty
Lucky,Choker
Juno,Choker
Petrol Bliss,Choker
Sticky,Ravyn Lenae
Computer Luv,Ravyn Lenae
Glass Flows,Ravyn Lenae
I Feel Bad,Blackbear
Night Garden,Benee, Bakar, Kenny Beats
Minor,Gracie Abrams
Politics & Violence,Dominic Fike
Underneath The Waves,Last Heros
Flm, Nurko
Home,"Mitis, Niko Athanasatos, Nurko"
Faith,"Nurko, Dia Frampton"
Here With Me,"ARMNHMR, Nevve"
Mercy,"Mitis, glasscat"
What's Done is Done,"Seven Lions, HALIENE"
Too Far Gone - Nurko Remix,"Lost Kings, Anna Clendening, Nurko"
I'm your dad,GRLwood
Sludgefucker,The Royal They
I Threw Glass At My Friend's Eyes And Now I'm On Probation,Destroy Boys
Sorority Girls,Mommy Long Legs
Bitch Island,Mommy Long Legs
Siri open tinder,Childbirth
Or Die,Vial
Mansplain,Thick
82.99 F.M,Macross 82-99
Fun Tonight,Macross 82-99
Magic Ways,SwuM
You've Got Me,Yung Bae
Remember Summer Days,"Night Tempo, Anri"
Fight!,Aests
Miss Macross,Macross 82-99
Blatant Plagiarism,Ghost Data
Flyday Chinatown,リアムMAZE1981
Crazy Nights,Future Girlfriend Music
Pastel,"Moe Shop, Snail's House"
Bae City Rollaz,"Yung Bae, Natvnomvzik"
ShortCake,"Night Tempo, Tempo"
Babybaby No Yume,Tanuki
Pink Dance,Future Girlfriend Music
Tropical Adventure,Desired
Selfish High Heels,"Yung Bae, Macross 82-99, Harrison"
City Nightlife ,"architecture in tokyo, Macross 82-99"
Plastic Love,リアムMAZE1981
Let Me Stay Close to you,Android Apartment
You Look So Good,Moe Shop
Wake Up,Desired
It's Good To See You Again!!,Adrianwave
Cant Tell,Yuni Wa
"I love u, pt. 1",Panthurr
Never Fall in love again,"Desired, ConsciousThoughts"
Yebisu - Yung Bae Edit,"Yung Bae, Macross 82-99"
Don't Wanna Fall,"Seven Lions, Last Heros, Haliene"
Cry,"Griffin, John Martin"
Here With Me,"ARMNHMR, Nevve"
Faith,"Nurko, Dia Frampton"
Back To U ,"Slander, William Black"
Wayback,Juto
Games,Juto
BTW,Juto
Perfect is Boring,Levin Kali
Homegirl,Levin Kali
The Waiting Line,Jaz Karis
Sunrise,Jaz Karis
Sugar Don't Be Sweet,Jaz Karis
Wild Irish Roses,Smino
L.M.F,Smino
Z4L,Smino
distant,articat
grey city blues,lil sunder11
why you,sway bleu
Bad Habits,"Golden, G. Soul"
no make up,Zion T
it's raining,vincent blue
your dog loves you,colde
tell me about your day,kwon jin ah
nuuh,thama
love story,"suran, crush"
dayfly,"dean, sullo"
instagram,dean
kelly,peakboy
starlight,herd
comes and goes,hyukoh
here today,kiha & the faces
stay as you are,sandeul
paint,moonmoon
coco bottle,penomeco
jasmine,dpr live
happiness,ovan
vibe,1team
vacation,"gaeko, g. soul"
risk,"way ched, youra, keem hyo-eun"
know me,"dpr live, dean"
115万キロのフィルム ,Official HIGE DANdism
Uma to Shika,Kenshi Yonezu
Sayonara Elegy,Masaki Suda
高嶺の花子さん,back number
hikarie,miwa
さよならの前に,AAA
Lemon,Kenshi Yonezu
Pretender,Official HIGE DANdism
ワタリドリ,[Alexandros]
新宝島,Sakanaction
Loser,Kenshi Yonezu
花に亡霊,Yorushika
Answer,Leo Ieiri
夜に駆ける,YOASOBI
Hakujitsu,King Gnu
Syukumei,Official HIGE DANdism
Kimagure Romantic,Ikimonogakari
Ainokatachi,"Misia, HIDE (GReeeN)"
Paprika,Kenshi Yonezu
愛唄,GReeeN
Ageha,Generations from EXILE TRIBE
talk,keshi
ash kaashh,"1nonly, lilbubblegum"
